cancer_code,source_cohort,source_project,source_version,source_pmid,source_type,source_scale_class,linear_tpm_comparable,tumor_origin,metastasis_site,processing_pipeline,notes,n_reference_genes,n_reference_samples,selected
GBM,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA glioma subset split by GDC project assignment. GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_glioma_split_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse labels TCGA-GBM and TCGA-LGG samples with the shared disease label `glioma`. This source splits that bucket by joining each Treehouse TCGA sample barcode prefix to a cached GDC case-to-project lookup, then routes TCGA-GBM and TCGA-LGG separately. It uses the same source_cohort as the direct Treehouse TCGA sample cohort so downstream source comparisons can treat it as part of the same Treehouse-reprocessed TCGA expression origin.",34571,166,True
HCL,ZENODO_14917813_BOHN_2026_HCL,Zenodo,Bohn et al. Blood Advances 2026; PMID:42200459; DOI:10.1182/bloodadvances.2025019057; unit=nTPM (pseudobulk); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:42200459,zenodo,scrna_malignant_cell_pseudobulk_ntpm,False,primary,,zenodo_14917813_hcl_t0_malignant_cell_pseudobulk_ntpm_ensembl112_clean_tpm_16_9_75,"Use the published T0 matrix only; rename artifact-local sample IDs to donor IDs P2-P6, retain P1 as excluded because it has no T0 pseudobulk, and do not infer per-donor BRAF V600E status. Author-annotated malignant HCL-cell UMIs are pseudobulked per donor and scaled to nTPM. The proxy scale is not bulk-TPM comparable or independently classification-ready.",14798,5,True
HEPB,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,20,True
HL,GSE120328_LAMPRECHT_2018,GEO,Lamprecht 2018 PMID 30546079 (cHL LCM bulk RNA-seq); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,gse120328_lamprecht_2018_recount3_gencode_v26_coverage_gene_sums_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Lamprecht 2018 (cHL): LCM-enriched HRS tumour cells (sample titles _TU; 5 paired non-tumour _NTC dropped → n=5). Rebuilt from recount3 (SRP162356, Gencode v26) for coverage-complete genes — see docs/recount3-integration.md. HRS-cell-specific not whole-tumour — flag for TME comparisons. Supersedes the FPKM author-matrix build (scripts/build_geo_matrix.py).",60464,5,True
HNSC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,520,True
HNSC_HPVneg,TREEHOUSE_POLYA_25_01_TCGA_HNSC_HPV,Treehouse (TCGA-HNSC) x cBioPortal HPV,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-HNSC subset split by cBioPortal HPV subtype calls from hnsc_tcga_pan_can_atlas_2018. PMID 27568064.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_hnsc_hpv_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-HNSC samples in the parent head and neck squamous cell carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes HPV-negative and HPV-positive cohorts separately. It uses a distinct source_cohort from the unsplit HNSC cohort so subtype-derived references remain auditable.,34571,415,True
HNSC_HPVpos,TREEHOUSE_POLYA_25_01_TCGA_HNSC_HPV,Treehouse (TCGA-HNSC) x cBioPortal HPV,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-HNSC subset split by cBioPortal HPV subtype calls from hnsc_tcga_pan_can_atlas_2018. PMID 27568064.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_hnsc_hpv_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-HNSC samples in the parent head and neck squamous cell carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes HPV-negative and HPV-positive cohorts separately. It uses a distinct source_cohort from the unsplit HNSC cohort so subtype-derived references remain auditable.,34571,72,True
KICH,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,66,True
KIRC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,531,True
KIRP,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,289,True
LAML,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,173,True
LAML_APL,BEATAML_OHSU_2022,BeatAML 1.0,BeatAML 2.0 (Bottomly 2022); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_beataml_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Summary-only import; subgrouped by ELN risk and APL. Per-sample data is available from BeatAML2 — backfill candidate for the full rebuild.,60279,20,True
LAML_ELNadv,BEATAML_OHSU_2022,BeatAML 1.0,BeatAML 2.0 (Bottomly 2022); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_beataml_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Summary-only import; subgrouped by ELN risk and APL. Per-sample data is available from BeatAML2 — backfill candidate for the full rebuild.,60279,189,True
LAML_ELNfav,BEATAML_OHSU_2022,BeatAML 1.0,BeatAML 2.0 (Bottomly 2022); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_beataml_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Summary-only import; subgrouped by ELN risk and APL. Per-sample data is available from BeatAML2 — backfill candidate for the full rebuild.,60279,238,True
LAML_ELNint,BEATAML_OHSU_2022,BeatAML 1.0,BeatAML 2.0 (Bottomly 2022); unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_beataml_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Summary-only import; subgrouped by ELN risk and APL. Per-sample data is available from BeatAML2 — backfill candidate for the full rebuild.,60279,154,True
LGG,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA glioma subset split by GDC project assignment. GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_glioma_split_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse labels TCGA-GBM and TCGA-LGG samples with the shared disease label `glioma`. This source splits that bucket by joining each Treehouse TCGA sample barcode prefix to a cached GDC case-to-project lookup, then routes TCGA-GBM and TCGA-LGG separately. It uses the same source_cohort as the direct Treehouse TCGA sample cohort so downstream source comparisons can treat it as part of the same Treehouse-reprocessed TCGA expression origin.",34571,523,True
LIHC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,368,True
LUAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,515,True
LUAD_EGFR,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,Treehouse (TCGA-LUAD) x cBioPortal mutation calls,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-LUAD subset split by cBioPortal mutation calls from luad_tcga_pan_can_atlas_2018. PMID 25079552.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_luad_mut_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-LUAD samples in the parent lung adenocarcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas mutation calls and routes EGFR-mutant, KRAS-mutant, and STK11/KEAP1-altered cohorts separately. STK11 and KEAP1 are treated as a union because the oncoref registry code LUAD_STK11 represents the immune-cold STK11/KEAP1 axis.",34571,67,True
LUAD_KRAS,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,Treehouse (TCGA-LUAD) x cBioPortal mutation calls,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-LUAD subset split by cBioPortal mutation calls from luad_tcga_pan_can_atlas_2018. PMID 25079552.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_luad_mut_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-LUAD samples in the parent lung adenocarcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas mutation calls and routes EGFR-mutant, KRAS-mutant, and STK11/KEAP1-altered cohorts separately. STK11 and KEAP1 are treated as a union because the oncoref registry code LUAD_STK11 represents the immune-cold STK11/KEAP1 axis.",34571,153,True
LUAD_STK11,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,Treehouse (TCGA-LUAD) x cBioPortal mutation calls,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-LUAD subset split by cBioPortal mutation calls from luad_tcga_pan_can_atlas_2018. PMID 25079552.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_luad_mut_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Treehouse carries TCGA-LUAD samples in the parent lung adenocarcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas mutation calls and routes EGFR-mutant, KRAS-mutant, and STK11/KEAP1-altered cohorts separately. STK11 and KEAP1 are treated as a union because the oncoref registry code LUAD_STK11 represents the immune-cold STK11/KEAP1 axis.",34571,142,True
LUSC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,498,True
MBL,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,125,True
MBL_G3,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,Treehouse,25.01; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,treehouse-derived,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_mbl_subgroup_markers_ensembl112_clean_tpm_16_9_75,"Deterministic partition of the 125-sample canonical MBL source matrix. Each sample is assigned to the largest-TPM marker among WIF1 (WNT), GLI2 (SHH), MYC (Group 3), and KCNA1 (Group 4). This reproduces the historical 17/25/44/39 approximation; ties or missing marker values are rejected. It is not a replacement for published per-sample methylation or transcriptomic subgroup labels.",34571,44,True
MBL_G4,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,Treehouse,25.01; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,treehouse-derived,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_mbl_subgroup_markers_ensembl112_clean_tpm_16_9_75,"Deterministic partition of the 125-sample canonical MBL source matrix. Each sample is assigned to the largest-TPM marker among WIF1 (WNT), GLI2 (SHH), MYC (Group 3), and KCNA1 (Group 4). This reproduces the historical 17/25/44/39 approximation; ties or missing marker values are rejected. It is not a replacement for published per-sample methylation or transcriptomic subgroup labels.",34571,39,True
MBL_SHH,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,Treehouse,25.01; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,treehouse-derived,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_mbl_subgroup_markers_ensembl112_clean_tpm_16_9_75,"Deterministic partition of the 125-sample canonical MBL source matrix. Each sample is assigned to the largest-TPM marker among WIF1 (WNT), GLI2 (SHH), MYC (Group 3), and KCNA1 (Group 4). This reproduces the historical 17/25/44/39 approximation; ties or missing marker values are rejected. It is not a replacement for published per-sample methylation or transcriptomic subgroup labels.",34571,25,True
MBL_WNT,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,Treehouse,25.01; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,treehouse-derived,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_mbl_subgroup_markers_ensembl112_clean_tpm_16_9_75,"Deterministic partition of the 125-sample canonical MBL source matrix. Each sample is assigned to the largest-TPM marker among WIF1 (WNT), GLI2 (SHH), MYC (Group 3), and KCNA1 (Group 4). This reproduces the historical 17/25/44/39 approximation; ties or missing marker values are rejected. It is not a replacement for published per-sample methylation or transcriptomic subgroup labels.",34571,17,True
MCL,GSE271664_BODOR_2025,GEO,GSE271664 (Bodor 2025); unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,geo_heme_expression_ensembl112_clean_tpm_16_9_75,FFPE lymph-biopsy HTSeq counts; length-normalized to TPM with Ensembl 112 gene spans.,25727,51,True
MDS,GSE114922_SHIOZAWA_2018,GEO,GSE114922 (Shiozawa 2018); unit=recount3 Gencode-v26 coverage gene-sums; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,recount3,linear_rnaseq_tpm,True,primary,,recount3_srp149374_gencode_v26_gene_sums_to_clean_tpm_16_9_75,"Rebuilt from recount3 (SRP149374, Gencode v26) for coverage-complete gene universe — see docs/recount3-integration.md. Selection: bone-marrow CD34+ HSPCs, disease status == 'Myelodysplastic Syndrome' (runs summed per biological sample → n=82). Supersedes the author-HTSeq build (scripts/build_geo_heme_reference_expression.py), kept in git history.",60464,82,True
MENINGIOMA,GSE270638_MENINGIOMA_2024,GEO,GSE270638 public 2024-08-21; raw-count matrix sha256 7a0486612342707c7c1b58fdc4a8361667c6891019582dd4f8bf088c0cd8b4e3; harmonized to Ensembl release 112; unit=raw_counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,mixed,,gse270638_htseq_raw_counts_gene_length_tpm_ensembl112_clean_tpm_16_9_75,"The public processed matrix contains 384 tumor columns and 60,662 gene rows. GEO's free-text Overall design says n=994, while the accession exposes 384 samples and the downloadable matrix contains exactly those 384 identifiers. Build and release only the auditable matrix cohort; do not manufacture or impute the unexposed 610 profiles.",59326,384,True
MESO,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,87,True
MM,MMRF_COMMPASS,MMRF CoMMpass,https://portal.gdc.cancer.gov/projects/MMRF-COMMPASS; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,gdc,linear_rnaseq_tpm,True,primary,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Inclusion: primary Bone Marrow CD138+ samples only (sample_type == 'Primary Blood Derived Cancer - Bone Marrow' AND sample_id endswith 'BM_CD138pos'); one deterministic sample per case ordered by visit number.,60279,764,True
MPN,GSE283710_WASHU_2024,GEO,GSE283710 (WashU 2024); unit=raw counts; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,primary,,geo_heme_expression_ensembl112_clean_tpm_16_9_75,"Sorted CD34+; chronic-phase Polycythemia vera, Essential thrombocythemia, and Myelofibrosis only; length-normalized to TPM.",38077,45,True
MTC,GSE32662_PRINGLE_2012_MTC,GEO,GSE32662 (Pringle 2012 medullary thyroid carcinoma); unit=TPM proxy; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-microarray,microarray_tpm_proxy,False,primary,,GPL6480 series-matrix log2 intensity to TPM proxy; Ensembl 112,"Agilent Human Genome 4x44K v1 (GPL6480) microarray series; 49 primary MTC cases × ~3 hybridization replicates = 52 samples. series_matrix log2 intensity → probe-max → anti-log2 → per- sample sum-to-1e6 (TPM-proxy). Within-sample gene rank preserved; absolute TPM-proxy NOT comparable to RNA-seq cohorts. Biology sanity check: CALCA (calcitonin, defining MTC marker) p95 ~3400 TPM-proxy; CHGA ~948; CEACAM5 ~481.",18967,52,True
