reference,title,citation_identity_status,source_url,used_by,reviewed_on
PMID:28988646,"Pembrolizumab in advanced soft-tissue sarcoma and bone sarcoma (SARC028): a multicentre, two-cohort, single-arm, open-label, phase 2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/28988646/,baseline:cancer-apd1-response:SARC_CHON;baseline:cancer-apd1-response:SARC_EWS;baseline:cancer-apd1-response:SARC_LMS;baseline:cancer-apd1-response:SARC_OS;baseline:cancer-apd1-response:SARC_SYN;baseline:cancer-ici-response-estimates:SARC_CHON;baseline:cancer-ici-response-estimates:SARC_DDLPS;baseline:cancer-ici-response-estimates:SARC_EWS;baseline:cancer-ici-response-estimates:SARC_LMS;baseline:cancer-ici-response-estimates:SARC_OS;baseline:cancer-ici-response-estimates:SARC_SYN;baseline:cancer-ici-response-estimates:SARC_UPS;baseline:cancer-ici-response:SARC_CHON;baseline:cancer-ici-response:SARC_EWS;baseline:cancer-ici-response:SARC_LMS;baseline:cancer-ici-response:SARC_OS;baseline:cancer-ici-response:SARC_SYN;current:cancer-apd1-response:SARC_CHON;current:cancer-apd1-response:SARC_EWS;current:cancer-apd1-response:SARC_LMS;current:cancer-apd1-response:SARC_OS;current:cancer-apd1-response:SARC_SYN;current:cancer-ici-response-estimates:SARC_CHON;current:cancer-ici-response-estimates:SARC_DDLPS;current:cancer-ici-response-estimates:SARC_EWS;current:cancer-ici-response-estimates:SARC_LMS;current:cancer-ici-response-estimates:SARC_OS;current:cancer-ici-response-estimates:SARC_SYN;current:cancer-ici-response-estimates:SARC_UPS;current:cancer-ici-response:SARC_CHON;current:cancer-ici-response:SARC_EWS;current:cancer-ici-response:SARC_LMS;current:cancer-ici-response:SARC_OS;current:cancer-ici-response:SARC_SYN,2026-09-15
PMID:29045540,Phase II trial of pembrolizumab in patients with platinum refractory germ-cell tumors: a Hoosier Cancer Research Network Study GU14-206.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29045540/,baseline:cancer-apd1-response:TGCT;baseline:cancer-ici-response-estimates:TGCT;baseline:cancer-ici-response:TGCT;current:cancer-apd1-response:TGCT;current:cancer-ici-response-estimates:TGCT;current:cancer-ici-response:TGCT,2026-09-15
PMID:29133614,Clinical Reasoning: Prognostication after cardiac arrest: What do we really know?,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29133614/,baseline:cancer-tmb:ANSC,2026-09-15
PMID:29217288,"Avelumab in metastatic urothelial carcinoma after platinum failure (JAVELIN Solid Tumor): pooled results from two expansion cohorts of an open-label, phase 1 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29217288/,baseline:cancer-ici-response-estimates:BLCA;current:cancer-ici-response-estimates:BLCA,2026-09-15
PMID:29328067,A physical approach to model occlusions in the retinal microvasculature.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29328067/,baseline:cancer-tmb:VSCC,2026-09-15
PMID:29355075,Durable Clinical Benefit With Nivolumab Plus Ipilimumab in DNA Mismatch Repair-Deficient/Microsatellite Instability-High Metastatic Colorectal Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29355075/,baseline:cancer-ici-response-estimates:CRC_MSI;baseline:cancer-ici-response:CRC_MSI;current:cancer-ici-response-estimates:CRC_MSI;current:cancer-ici-response:CRC_MSI,2026-09-15
PMID:29395863,"Pembrolizumab in patients with thymic carcinoma: a single-arm, single-centre, phase 2 study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29395863/,baseline:cancer-apd1-response:THYMCA;baseline:cancer-ici-response-estimates:THYMCA;baseline:cancer-ici-response:THYMCA;current:cancer-apd1-response:THYMCA;current:cancer-ici-response-estimates:THYMCA;current:cancer-ici-response:THYMCA,2026-09-15
PMID:29489754,The landscape of genomic alterations across childhood cancers.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29489754/,baseline:cancer-tmb:ATRT;baseline:cancer-tmb:B_ALL;baseline:cancer-tmb:EPN;baseline:cancer-tmb:HEPB;baseline:cancer-tmb:NBL;baseline:cancer-tmb:SARC_EWS;baseline:cancer-tmb:SARC_OS;baseline:cancer-tmb:SARC_RMS_ARMS;baseline:cancer-tmb:SARC_RMS_ERMS;baseline:cancer-tmb:SARC_RMS_PRMS;baseline:cancer-tmb:SARC_RMS_SSRMS;baseline:cancer-tmb:T_ALL;baseline:cancer-tmb:WILMS;current:cancer-tmb:ATRT;current:cancer-tmb:B_ALL;current:cancer-tmb:EPN;current:cancer-tmb:HEPB;current:cancer-tmb:NBL;current:cancer-tmb:SARC_EWS;current:cancer-tmb:SARC_OS;current:cancer-tmb:SARC_RMS_ARMS;current:cancer-tmb:SARC_RMS_ERMS;current:cancer-tmb:SARC_RMS_PRMS;current:cancer-tmb:SARC_RMS_SSRMS;current:cancer-tmb:T_ALL;current:cancer-tmb:WILMS,2026-09-15
PMID:29535388,Integrative genomic profiling of large-cell neuroendocrine carcinomas reveals distinct subtypes of high-grade neuroendocrine lung tumors.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29535388/,baseline:cancer-tmb:NEC_LUNG;baseline:cancer-tmb:NEC_LUNG_LARGECELL;current:cancer-tmb:NEC_LUNG,2026-09-15
PMID:29543932,Safety and Efficacy of Pembrolizumab Monotherapy in Patients With Previously Treated Advanced Gastric and Gastroesophageal Junction Cancer: Phase 2 Clinical KEYNOTE-059 Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29543932/,baseline:cancer-apd1-response:STAD;baseline:cancer-apd1-response:STAD_MSI;baseline:cancer-ici-response-estimates:STAD;baseline:cancer-ici-response-estimates:STAD_MSI;baseline:cancer-ici-response:STAD;baseline:cancer-ici-response:STAD_MSI;current:cancer-apd1-response:STAD;current:cancer-apd1-response:STAD_MSI;current:cancer-ici-response-estimates:STAD;current:cancer-ici-response-estimates:STAD_MSI;current:cancer-ici-response:STAD;current:cancer-ici-response:STAD_MSI,2026-09-15
PMID:29562145,Nivolumab plus Ipilimumab versus Sunitinib in Advanced Renal-Cell Carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29562145/,baseline:cancer-ici-response-estimates:KIRC;baseline:cancer-ici-response:KIRC;current:cancer-ici-response-estimates:KIRC;current:cancer-ici-response:KIRC,2026-09-15
PMID:29566106,Efficacy and Safety of First-line Avelumab Treatment in Patients With Stage IV Metastatic Merkel Cell Carcinoma: A Preplanned Interim Analysis of a Clinical Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29566106/,baseline:cancer-ici-response-estimates:NEC_MERKEL;current:cancer-ici-response-estimates:NEC_MERKEL,2026-09-15
PMID:29584546,Nivolumab for Relapsed/Refractory Classic Hodgkin Lymphoma After Failure of Autologous Hematopoietic Cell Transplantation: Extended Follow-Up of the Multicohort Single-Arm Phase II CheckMate 205 Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29584546/,baseline:cancer-apd1-response:HL;baseline:cancer-ici-response-estimates:HL;baseline:cancer-ici-response:HL;current:cancer-ici-response-estimates:HL,2026-09-15
PMID:29773717,STK11/LKB1 Mutations and PD-1 Inhibitor Resistance in KRAS-Mutant Lung Adenocarcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29773717/,baseline:cancer-apd1-response:LUAD_STK11;baseline:cancer-ici-response-estimates:LUAD_STK11;baseline:cancer-ici-response:LUAD_STK11;current:cancer-apd1-response:LUAD_STK11;current:cancer-ici-response-estimates:LUAD_STK11;current:cancer-ici-response:LUAD_STK11,2026-09-15
PMID:29863979,PD-1 Blockade with Cemiplimab in Advanced Cutaneous Squamous-Cell Carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29863979/,baseline:cancer-ici-response-estimates:cSCC;current:cancer-ici-response-estimates:cSCC,2026-09-15
PMID:29867230,Clinical activity and molecular correlates of response to atezolizumab alone or in combination with bevacizumab versus sunitinib in renal cell carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29867230/,baseline:cancer-ici-response-estimates:KIRC;baseline:cancer-ici-response:KIRC;current:cancer-ici-response-estimates:KIRC;current:cancer-ici-response:KIRC,2026-09-15
PMID:29901569,Clinicopathologic Features of a Series of Primary Renal CIC-rearranged Sarcomas With Comprehensive Molecular Analysis.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29901569/,baseline:cancer-tmb:SARC_CIC;current:cancer-tmb:SARC_CIC,2026-09-15
PMID:29906252,Pembrolizumab for Patients With Refractory or Relapsed Thymic Epithelial Tumor: An Open-Label Phase II Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29906252/,baseline:cancer-ici-response-estimates:THYMCA;current:cancer-ici-response-estimates:THYMCA,2026-09-15
PMID:29955135,Efficacy and safety of pembrolizumab in recurrent/metastatic head and neck squamous cell carcinoma: pooled analyses after long-term follow-up in KEYNOTE-012.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/29955135/,baseline:cancer-apd1-response:HNSC_HPVneg;baseline:cancer-apd1-response:HNSC_HPVpos;baseline:cancer-ici-response-estimates:HNSC_HPVneg;baseline:cancer-ici-response-estimates:HNSC_HPVpos;baseline:cancer-ici-response:HNSC_HPVneg;baseline:cancer-ici-response:HNSC_HPVpos;current:cancer-apd1-response:HNSC_HPVneg;current:cancer-apd1-response:HNSC_HPVpos;current:cancer-ici-response-estimates:HNSC_HPVneg;current:cancer-ici-response-estimates:HNSC_HPVpos;current:cancer-ici-response:HNSC_HPVneg;current:cancer-ici-response:HNSC_HPVpos,2026-09-15
PMID:30108156,Comprehensive Genomic Profiling of Hodgkin Lymphoma Reveals Recurrently Mutated Genes and Increased Mutation Burden.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30108156/,baseline:cancer-tmb:HL;current:cancer-tmb:HL,2026-09-15
PMID:30151257,Beyond microsatellite testing: assessment of tumor mutational burden identifies subsets of colorectal cancer who may respond to immune checkpoint inhibition.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30151257/,baseline:cancer-tmb:CRC;current:cancer-tmb:CRC,2026-09-15
PMID:30242306,Long-term Clinical Outcomes and Biomarker Analyses of Atezolizumab Therapy for Patients With Metastatic Triple-Negative Breast Cancer: A Phase 1 Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30242306/,baseline:cancer-ici-response-estimates:BRCA_Basal;baseline:cancer-ici-response:BRCA_Basal;current:cancer-ici-response-estimates:BRCA_Basal;current:cancer-ici-response:BRCA_Basal,2026-09-15
PMID:30307503,Clinical Impact of Tumor Mutational Burden in Neuroblastoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30307503/,baseline:cancer-tmb:NBL_MYCNamp;baseline:cancer-tmb:NBL_MYCNnonamp;current:cancer-tmb:NBL_MYCNamp;current:cancer-tmb:NBL_MYCNnonamp,2026-09-15
PMID:30383184,Safety and Efficacy of Durvalumab With or Without Tremelimumab in Patients With PD-L1-Low/Negative Recurrent or Metastatic HNSCC: The Phase 2 CONDOR Randomized Clinical Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30383184/,baseline:cancer-ici-response-estimates:HNSC;current:cancer-ici-response-estimates:HNSC,2026-09-15
PMID:30409776,"Efficacy, Safety, and Biomarkers of Response to Azacitidine and Nivolumab in Relapsed/Refractory Acute Myeloid Leukemia: A Nonrandomized, Open-Label, Phase II Study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30409776/,baseline:cancer-ici-response-estimates:LAML;current:cancer-ici-response-estimates:LAML,2026-09-15
PMID:30475947,"Pembrolizumab monotherapy for previously untreated, PD-L1-positive, metastatic triple-negative breast cancer: cohort B of the phase II KEYNOTE-086 study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30475947/,baseline:cancer-ici-response-estimates:BRCA_Basal;current:cancer-ici-response-estimates:BRCA_Basal,2026-09-15
PMID:30475950,Pembrolizumab monotherapy for previously treated metastatic triple-negative breast cancer: cohort A of the phase II KEYNOTE-086 study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30475950/,baseline:cancer-apd1-response:BRCA_Basal;baseline:cancer-ici-response-estimates:BRCA_Basal;baseline:cancer-ici-response:BRCA_Basal;current:cancer-apd1-response:BRCA_Basal;current:cancer-ici-response-estimates:BRCA_Basal;current:cancer-ici-response:BRCA_Basal,2026-09-15
PMID:30515672,"Phase 1 trial of avelumab (anti-PD-L1) in Japanese patients with advanced solid tumors, including dose expansion in patients with gastric or gastroesophageal junction cancer: the JAVELIN Solid Tumor JPN trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30515672/,baseline:cancer-ici-response-estimates:STAD;baseline:cancer-ici-response:STAD;current:cancer-ici-response-estimates:STAD;current:cancer-ici-response:STAD,2026-09-15
PMID:30557521,"T-Cell-Inflamed Gene-Expression Profile, Programmed Death Ligand 1 Expression, and Tumor Mutational Burden Predict Efficacy in Patients Treated With Pembrolizumab Across 20 Cancers: KEYNOTE-028.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30557521/,baseline:cancer-apd1-response:PAAD;baseline:cancer-ici-response-estimates:PAAD;baseline:cancer-ici-response:PAAD;current:cancer-apd1-response:PAAD;current:cancer-ici-response-estimates:PAAD;current:cancer-ici-response:PAAD,2026-09-15
PMID:30605211,Efficacy and Safety of Avelumab Treatment in Patients With Advanced Unresectable Mesothelioma: Phase 1b Results From the JAVELIN Solid Tumor Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30605211/,baseline:cancer-ici-response-estimates:MESO;baseline:cancer-ici-response:MESO;current:cancer-ici-response-estimates:MESO;current:cancer-ici-response:MESO,2026-09-15
PMID:30620669,"Nivolumab for Relapsed/Refractory Diffuse Large B-Cell Lymphoma in Patients Ineligible for or Having Failed Autologous Transplantation: A Single-Arm, Phase II Study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30620669/,baseline:cancer-apd1-response:DLBC;baseline:cancer-ici-response-estimates:DLBC;baseline:cancer-ici-response:DLBC;current:cancer-apd1-response:DLBC;current:cancer-ici-response-estimates:DLBC;current:cancer-ici-response:DLBC,2026-09-15
PMID:30664989,A Randomized Non-Comparative Phase II Study of Anti-Programmed Cell Death-Ligand 1 Atezolizumab or Chemotherapy as Second-Line Therapy in Patients With Small Cell Lung Cancer: Results From the IFCT-1603 Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30664989/,baseline:cancer-ici-response-estimates:SCLC;baseline:cancer-ici-response:SCLC;current:cancer-ici-response-estimates:SCLC;current:cancer-ici-response:SCLC,2026-09-15
PMID:30676622,Efficacy and Safety of Avelumab for Patients With Recurrent or Refractory Ovarian Cancer: Phase 1b Results From the JAVELIN Solid Tumor Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30676622/,baseline:cancer-ici-response-estimates:OV;baseline:cancer-ici-response:OV;current:cancer-ici-response-estimates:OV;current:cancer-ici-response:OV,2026-09-15
PMID:30717797,Avelumab (anti-PD-L1) as first-line switch-maintenance or second-line therapy in patients with advanced gastric or gastroesophageal junction cancer: phase 1b results from the JAVELIN Solid Tumor trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30717797/,baseline:cancer-ici-response-estimates:STAD;current:cancer-ici-response-estimates:STAD,2026-09-15
PMID:30726175,Durable Tumor Regression and Overall Survival in Patients With Advanced Merkel Cell Carcinoma Receiving Pembrolizumab as First-Line Therapy.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30726175/,baseline:cancer-apd1-response:NEC_MERKEL;baseline:cancer-ici-response-estimates:NEC_MERKEL;baseline:cancer-ici-response:NEC_MERKEL;current:cancer-apd1-response:NEC_MERKEL;current:cancer-ici-response-estimates:NEC_MERKEL;current:cancer-ici-response:NEC_MERKEL,2026-09-15
PMID:30937889,Phase 1b trial of pembrolizumab monotherapy for relapsed/refractory multiple myeloma: KEYNOTE-013.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30937889/,baseline:cancer-apd1-response:MM;baseline:cancer-ici-response-estimates:MM;baseline:cancer-ici-response:MM;current:cancer-apd1-response:MM;current:cancer-ici-response-estimates:MM;current:cancer-ici-response:MM,2026-09-15
PMID:30943124,Efficacy and Safety of Pembrolizumab in Previously Treated Advanced Cervical Cancer: Results From the Phase II KEYNOTE-158 Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/30943124/,baseline:cancer-apd1-response:CESC;baseline:cancer-ici-response-estimates:CESC;baseline:cancer-ici-response:CESC;current:cancer-apd1-response:CESC;current:cancer-ici-response-estimates:CESC;current:cancer-ici-response:CESC,2026-09-15
PMID:31046082,Antitumor activity and safety of pembrolizumab in patients with advanced recurrent ovarian cancer: results from the phase II KEYNOTE-100 study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31046082/,baseline:cancer-apd1-response:OV;baseline:cancer-ici-response-estimates:OV;baseline:cancer-ici-response:OV;current:cancer-apd1-response:OV;current:cancer-ici-response-estimates:OV;current:cancer-ici-response:OV,2026-09-15
PMID:31180909,Tumor Mutation Burden and Checkpoint Immunotherapy Markers in NUT Midline Carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31180909/,baseline:cancer-tmb:NUTM,2026-09-15
PMID:31399473,The Genomic Landscape of Merkel Cell Carcinoma and Clinicogenomic Biomarkers of Response to Immune Checkpoint Inhibitor Therapy.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31399473/,baseline:cancer-tmb:NEC_MERKEL;current:cancer-tmb:NEC_MERKEL,2026-09-15
PMID:31409671,Pembrolizumab in relapsed or refractory Hodgkin lymphoma: 2-year follow-up of KEYNOTE-087.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31409671/,baseline:cancer-ici-response-estimates:HL;current:cancer-ici-response-estimates:HL,2026-09-15
PMID:31504112,"Relative contribution of clinicopathological variables, genomic markers, transcriptomic subtyping and microenvironment features for outcome prediction in stage II/III colorectal cancer.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31504112/,baseline:cancer-tmb:BRCA_Basal;baseline:cancer-tmb:BRCA_HER2,2026-09-15
PMID:31532724,Pembrolizumab in Relapsed and Refractory Mycosis Fungoides and Sézary Syndrome: A Multicenter Phase II Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31532724/,baseline:cancer-apd1-response:CTCL;baseline:cancer-ici-response-estimates:CTCL;baseline:cancer-ici-response:CTCL;current:cancer-apd1-response:CTCL;current:cancer-ici-response-estimates:CTCL;current:cancer-ici-response:CTCL,2026-09-15
PMID:31562796,Nivolumab plus Ipilimumab in Advanced Non-Small-Cell Lung Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31562796/,baseline:cancer-ici-response-estimates:LUAD;baseline:cancer-ici-response:LUAD;current:cancer-ici-response-estimates:LUAD;current:cancer-ici-response:LUAD,2026-09-15
PMID:31582355,"Nivolumab versus chemotherapy in patients with advanced oesophageal squamous cell carcinoma refractory or intolerant to previous chemotherapy (ATTRACTION-3): a multicentre, randomised, open-label, phase 3 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31582355/,baseline:cancer-apd1-response:ESCA;baseline:cancer-ici-response-estimates:ESCA;baseline:cancer-ici-response:ESCA;current:cancer-apd1-response:ESCA;current:cancer-ici-response-estimates:ESCA;current:cancer-ici-response:ESCA,2026-09-15
PMID:31605946,Genetic Landscape of Somatic Mutations in a Large Cohort of Sporadic Medullary Thyroid Carcinomas Studied by Next-Generation Targeted Sequencing.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31605946/,baseline:cancer-tmb:MTC,2026-09-15
PMID:31609651,Pembrolizumab in Relapsed or Refractory Primary Mediastinal Large B-Cell Lymphoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31609651/,baseline:cancer-ici-response-estimates:PMBCL;current:cancer-ici-response-estimates:PMBCL,2026-09-15
PMID:31639039,Efficacy and tolerability of anti-programmed death-ligand 1 (PD-L1) antibody (Avelumab) treatment in advanced thymoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31639039/,baseline:cancer-ici-response-estimates:THYM;baseline:cancer-ici-response:THYM;current:cancer-ici-response-estimates:THYM;current:cancer-ici-response:THYM,2026-09-15
PMID:31679945,"Pembrolizumab alone or with chemotherapy versus cetuximab with chemotherapy for recurrent or metastatic squamous cell carcinoma of the head and neck (KEYNOTE-048): a randomised, open-label, phase 3 study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31679945/,baseline:cancer-apd1-response:HNSC;baseline:cancer-ici-response-estimates:HNSC;baseline:cancer-ici-response:HNSC;current:cancer-apd1-response:HNSC;current:cancer-ici-response-estimates:HNSC;current:cancer-ici-response:HNSC,2026-09-15
PMID:31682550,Efficacy of Pembrolizumab in Patients With Noncolorectal High Microsatellite Instability/Mismatch Repair-Deficient Cancer: Results From the Phase II KEYNOTE-158 Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31682550/,baseline:cancer-ici-response-estimates:PAAD;current:cancer-ici-response-estimates:PAAD,2026-09-15
PMID:31725351,"Phase II Open-Label Study of Pembrolizumab in Treatment-Refractory, Microsatellite Instability-High/Mismatch Repair-Deficient Metastatic Colorectal Cancer: KEYNOTE-164.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31725351/,baseline:cancer-ici-response-estimates:CRC_MSI;current:cancer-ici-response-estimates:CRC_MSI,2026-09-15
PMID:31774688,"Pembrolizumab for Treatment-Refractory Metastatic Castration-Resistant Prostate Cancer: Multicohort, Open-Label Phase II KEYNOTE-199 Study.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31774688/,baseline:cancer-apd1-response:PRAD;baseline:cancer-ici-response-estimates:PRAD;baseline:cancer-ici-response:PRAD;current:cancer-apd1-response:PRAD;current:cancer-ici-response-estimates:PRAD;current:cancer-ici-response:PRAD,2026-09-15
PMID:31812554,"Pembrolizumab in paediatric patients with advanced melanoma or a PD-L1-positive, advanced, relapsed, or refractory solid tumour or lymphoma (KEYNOTE-051): interim analysis of an open-label, single-arm, phase 1-2 trial.",identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31812554/,baseline:cancer-apd1-response:NBL;baseline:cancer-ici-response-estimates:NBL;baseline:cancer-ici-response-estimates:SARC_EPITH;baseline:cancer-ici-response:NBL;current:cancer-apd1-response:NBL;current:cancer-ici-response-estimates:NBL;current:cancer-ici-response-estimates:SARC_EPITH;current:cancer-ici-response:NBL,2026-09-15
PMID:31829442,Interpretation of somatic POLE mutations in endometrial carcinoma.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31829442/,current:cancer-tmb:UCEC_MSI,2026-09-15
PMID:31930041,Tumor mutational and indel burden: a systematic pan-cancer evaluation as prognostic biomarkers.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31930041/,current:cancer-tmb:UVM,2026-09-15
PMID:31969335,A Phase II Basket Trial of Dual Anti-CTLA-4 and Anti-PD-1 Blockade in Rare Tumors (DART SWOG 1609) in Patients with Nonpancreatic Neuroendocrine Tumors.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/31969335/,baseline:cancer-apd1-response:NET_NONPANCREATIC;baseline:cancer-ici-response-estimates:NET_NONPANCREATIC;baseline:cancer-ici-response:NET_NONPANCREATIC;current:cancer-apd1-response:NET_NONPANCREATIC;current:cancer-ici-response-estimates:NET_NONPANCREATIC;current:cancer-ici-response:NET_NONPANCREATIC,2026-09-15
PMID:32359091,Efficacy and safety of pembrolizumab for the treatment of advanced biliary cancer: Results from the KEYNOTE-158 and KEYNOTE-028 studies.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/32359091/,baseline:cancer-apd1-response:BTC;baseline:cancer-ici-response-estimates:BTC;baseline:cancer-ici-response:BTC;current:cancer-apd1-response:BTC;current:cancer-ici-response-estimates:BTC;current:cancer-ici-response:BTC,2026-09-15
PMID:32437507,Effect of Nivolumab vs Bevacizumab in Patients With Recurrent Glioblastoma: The CheckMate 143 Phase 3 Randomized Clinical Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/32437507/,baseline:cancer-apd1-response:GBM;baseline:cancer-ici-response-estimates:GBM;baseline:cancer-ici-response:GBM;current:cancer-apd1-response:GBM;current:cancer-ici-response-estimates:GBM;current:cancer-ici-response:GBM,2026-09-15
PMID:32552471,Long-Term Outcomes in KEYNOTE-052: Phase II Study Investigating First-Line Pembrolizumab in Cisplatin-Ineligible Patients With Locally Advanced or Metastatic Urothelial Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/32552471/,baseline:cancer-apd1-response:BLCA;baseline:cancer-ici-response-estimates:BLCA;baseline:cancer-ici-response:BLCA;current:cancer-apd1-response:BLCA;current:cancer-ici-response-estimates:BLCA;current:cancer-ici-response:BLCA,2026-09-15
PMID:32673170,Pembrolizumab Monotherapy for Recurrent or Metastatic Cutaneous Squamous Cell Carcinoma: A Single-Arm Phase II Trial (KEYNOTE-629).,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/32673170/,baseline:cancer-apd1-response:cSCC;baseline:cancer-ici-response-estimates:cSCC;baseline:cancer-ici-response:cSCC;current:cancer-apd1-response:cSCC;current:cancer-ici-response-estimates:cSCC;current:cancer-ici-response:cSCC,2026-09-15
PMID:32997907,Atezolizumab for First-Line Treatment of PD-L1-Selected Patients with NSCLC.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/32997907/,baseline:cancer-ici-response-estimates:NSCLC;baseline:cancer-ici-response:NSCLC;current:cancer-ici-response-estimates:NSCLC;current:cancer-ici-response:NSCLC,2026-09-15
PMID:33001135,Efficacy and Safety of Nivolumab Plus Ipilimumab in Patients With Advanced Hepatocellular Carcinoma Previously Treated With Sorafenib: The CheckMate 040 Randomized Clinical Trial.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/33001135/,baseline:cancer-ici-response-estimates:LIHC;baseline:cancer-ici-response:LIHC;current:cancer-ici-response-estimates:LIHC;current:cancer-ici-response:LIHC,2026-09-15
PMID:33026938,Randomized Phase III KEYNOTE-181 Study of Pembrolizumab Versus Chemotherapy in Advanced Esophageal Cancer.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/33026938/,baseline:cancer-ici-response-estimates:ESCA;current:cancer-ici-response-estimates:ESCA,2026-09-15
PMID:33125309,Nivolumab and Ipilimumab in Metastatic Uveal Melanoma: Results From a Single-Arm Phase II Study.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/33125309/,baseline:cancer-ici-response-estimates:UVM;current:cancer-ici-response-estimates:UVM,2026-09-15
PMID:33249490,The genetic landscape of choroid plexus tumors in children and adults.,identifier_resolved_only,https://pubmed.ncbi.nlm.nih.gov/33249490/,baseline:cancer-tmb:CHOROID_PLEXUS;current:cancer-tmb:CHOROID_PLEXUS,2026-09-15
